iter	RMSE
181	32006.0501
182	31980.83185
183	31953.84571
184	31951.35359
185	31864.86841
186	31834.41306
187	31793.04751
188	31747.08581
189	31706.2158
190	31699.00013
191	31661.77973
192	31618.73277
193	31604.57413
194	31564.58321
195	31558.63752
196	31527.05546
197	31525.20883
198	31502.03028
199	31465.64559
200	31400.50025
201	31326.93614
202	31325.94637
203	31285.54224
204	31284.3609
205	31243.56944
206	31221.36475
207	31220.50593
208	31178.27187
209	31142.4191
210	31141.50126
211	31092.6904
212	31036.97592
213	30946.27422
214	30904.1608
215	30854.40014
216	30821.70022
217	30802.39587
218	30764.16334
219	30762.31957
220	30729.45786
221	30709.56097
222	30682.80398
223	30643.57517
224	30607.12092
225	30560.79513
226	30532.92644
227	30531.34598
228	30514.37828
229	30466.36375
230	30465.44929
231	30449.40528
232	30445.70837
233	30399.4238
234	30341.24128
235	30323.32088
236	30283.17042
237	30258.78522
238	30230.64303
239	30168.44551
240	30132.14212
241	30094.27278
242	30031.37697
243	29993.44035
244	29949.36613
245	29892.34642
246	29847.34836
247	29820.73063
248	29788.02032
249	29756.6424
250	29732.21968
251	29677.91649
252	29631.3245
253	29611.01084
254	29565.02964
255	29527.31514
256	29489.19045
257	29456.06166
258	29415.85166
259	29382.89406
260	29321.10809
261	29301.03221
262	29253.94658
263	29225.98237
264	29207.16042
265	29206.57342
266	29181.97264
267	29143.49564
268	29129.00849
269	29104.03495
270	29073.04563
271	29036.9563
272	29005.06971
273	28972.97098
274	28966.12271
275	28965.30202
276	28930.10258
277	28913.05073
278	28904.25533
279	28879.05994
280	28856.95555
281	28824.05584
282	28785.09125
283	28753.49283
284	28679.98407
285	28645.4752
286	28591.70125
287	28586.12224
288	28552.81905
289	28500.32011
290	28457.41253
291	28431.90223
292	28369.09254
293	28346.94781
294	28316.531
295	28286.95645
296	28242.80814
297	28200.60676
298	28163.52046
299	28113.51666
300	28100.2679
301	28051.70416
302	28051.14619
303	28022.60658
304	27992.0692
305	27979.62169
306	27917.5555
307	27885.00189
308	27883.98624
309	27856.1961
310	27819.17418
311	27768.09992
312	27750.20237
313	27719.1236
314	27687.62446
315	27664.51285
316	27646.33384
317	27569.6283
318	27532.2565
319	27494.17862
320	27443.34819
321	27408.79375
322	27402.52748
323	27344.09825
324	27322.91694
325	27296.41318
326	27295.76773
327	27286.93883
328	27283.49746
329	27271.31866
330	27241.41484
331	27192.78868
332	27178.24219
333	27157.93111
334	27143.58642
335	27133.79227
336	27124.1424
337	27093.44075
338	27056.01803
339	27010.10825
340	26987.89202
341	26986.29889
342	26956.59618
343	26931.12972
344	26905.2295
345	26868.46084
346	26842.81668
347	26805.71501
348	26771.46401
349	26732.41729
350	26681.23403
351	26653.59719
352	26631.31369
353	26606.18758
354	26572.35548
355	26549.59021
356	26541.86066
357	26505.36554
358	26499.10873
359	26476.83054
360	26446.74581
361	26445.98408
362	26415.63107
363	26380.09577
364	26360.89713
365	26347.97482
366	26302.80982
367	26278.14098
368	26213.72206
369	26192.31886
370	26170.71434
371	26134.93829
372	26091.07284
373	26079.0318
374	26052.09526
375	26021.68289
376	26003.87696
377	25986.05262
378	25966.86363
379	25949.06417
380	25931.14376
381	25902.65968
382	25900.16726
383	25875.47792
384	25867.69672
385	25840.71803
386	25811.23842
387	25797.42659
388	25785.83506
389	25755.31016
390	25732.59846
391	25709.35425
392	25672.63689
393	25671.73739
394	25647.24374
395	25644.35446
396	25643.64706
397	25617.73918
398	25577.46771
399	25568.98502
400	25568.55618
401	25545.29009
402	25511.80429
403	25494.98754
404	25489.32239
405	25464.28231
406	25447.80925
407	25416.34586
408	25388.64849
409	25388.19433
410	25355.58568
411	25337.20483
412	25304.75898
413	25289.57781
414	25249.94541
415	25239.51914
416	25215.39846
417	25188.2066
418	25157.471
419	25148.01392
420	25124.0567
421	25115.91137
422	25080.74368
423	25040.43075
424	25028.14469
425	25022.56475
426	25001.84197
427	24998.77339
428	24995.69531
429	24980.85543
430	24980.23267
431	24961.90909
432	24959.08363
433	24939.56745
434	24922.77433
435	24909.20337
436	24899.933
437	24842.3285
438	24823.44345
439	24801.60917
440	24796.79983
441	24783.29643
442	24765.21064
443	24731.53861
444	24706.5978
445	24690.58584
446	24667.41029
447	24657.2669
448	24635.97942
449	24617.36155
450	24613.44001
451	24588.4227
452	24567.26215
453	24552.67725
454	24540.73048
455	24519.44704
456	24516.08739
457	24505.86919
458	24466.66921
459	24448.86495
460	24444.82015
461	24422.89818
462	24409.00212
463	24396.08735
464	24395.0897
465	24377.86235
466	24359.51124
467	24336.41828
468	24328.29397
469	24312.53474
470	24293.36733
471	24269.21355
472	24252.67932
473	24252.23534
474	24251.93287
475	24233.95484
476	24216.93118
477	24195.77515
478	24167.94258
479	24158.88623
480	24138.59062
481	24112.96698
482	24091.60372
483	24052.42866
484	24050.53475
485	24009.55346
486	23989.19452
487	23968.50411
488	23940.72313
489	23911.83258
490	23876.52241
491	23863.953
492	23841.73417
493	23815.60618
494	23808.76798
495	23777.71436
496	23772.13026
497	23760.46911
498	23735.13157
499	23708.07964
